,movie_rated,run_length,genres,release_date,rating
264,R,1h 54min,Biography; Comedy; Crime; ,19 August 2016 (USA),7.1
265,R,2h 11min,Biography; Drama; ,17 March 2000 (USA),7.3
266,R,2h 40min,Biography; Crime; Drama; ,19 October 2007 (USA),7.5
267,R,2h 3min,Biography; Crime; Drama; ,18 September 2015 (USA),6.9
268,PG-13,2h 5min,Biography; Drama; ,22 December 2017 (USA),7.4
269,R,2h 7min,Biography; Comedy; Drama; ,7 October 1994 (USA),7.8
270,R,2h 8min,Biography; Drama; ,30 January 2009 (USA),7.5
271,R,1h 59min,Biography; Comedy; Drama; ,21 December 2018 (USA),7.5
272,R,2h 55min,Action; Biography; Drama; ,24 November 2004 (USA),5.6
273,R,2h 7min,Biography; Drama; ,14 January 2000 (USA),7.3
274,R,1h 59min,Biography; Drama; Romance; ,22 January 2016 (USA),7.1
275,R,2h 37min,Biography; Drama; Thriller; ,5 November 1999 (USA),7.8
276,PG-13,2h 21min,Biography; Drama; History; ,12 October 2018 (USA),7.3
277,R,2h 12min,Biography; Crime; Drama; ,20 November 2015 (USA),6.9
278,R,1h 55min,Action; Biography; Comedy; ,29 September 2017 (USA),7.2
279,R,2h 13min,Biography; Drama; ,25 February 1994 (USA),8.1
280,R,2h 2min,Biography; Drama; ,23 October 2015 (USA),7.2
281,PG-13,2h 5min,Biography; Comedy; Drama; ,20 December 2013 (USA),7.5
282,PG-13,2h 14min,Biography; Drama; History; ,11 December 2009 (USA),7.3
283,Not Rated,2h 41min,Action; Biography; Drama; ,21 December 2016 (USA),8.4
284,PG-13,2h 17min,Biography; Drama; Sport; ,25 December 2014 (USA),7.2
285,PG-13,2h 32min,Biography; Drama; Music; ,29 October 2004 (USA),7.7
286,R,1h 49min,Biography; Crime; Drama; ,30 January 2004 (USA),7.3
287,R,2h 14min,Biography; Drama; Sport; ,16 January 2015 (USA),7.0
288,R,1h 44min,Biography; Comedy; Drama; ,8 December 2017 (USA),7.4
289,R,2h 20min,Biography; Crime; Drama; ,5 January 2018 (USA),7.4
290,R,2h 14min,Biography; Crime; Drama; ,16 September 2016 (USA),7.3
291,PG-13,2h 4min,Biography; Drama; ,25 December 2015 (USA),6.6
292,PG-13,2h 16min,Adventure; Biography; Drama; ,10 October 1997 (USA),7.1
293,R,2h 1min,Biography; Comedy; Drama; ,15 January 1988 (USA),7.3
294,R,1h 54min,Biography; Crime; Drama; ,3 February 2006 (USA),7.3
295,PG-13,2h 16min,Biography; Drama; Sport; ,14 January 2005 (USA),7.3
296,R,2h 10min,Action; Biography; Drama; ,25 December 1993 (USA),7.8
297,R,1h 58min,Biography; Comedy; Drama; ,22 December 1999 (USA),7.4
298,PG-13,3h 17min,Adventure; Biography; Drama; ,17 November 1960 (Brazil),7.9
299,R,2h 1min,Biography; Drama; Music; ,31 May 2019 (USA),7.3
300,PG-13,2h 1min,Comedy; ,1 August 2014 (USA),8.0
301,PG,1h 56min,Comedy; ,3 July 1985 (USA),8.5
302,G,1h 40min,Comedy; ,30 May 2003 (USA),8.1
303,PG,1h 36min,Comedy; ,29 May 2009 (USA),8.2
304,PG,1h 43min,Comedy; ,5 June 1998 (USA),8.1
305,R,1h 48min,Comedy; ,12 February 2016 (USA),8.0
306,G,1h 21min,Comedy; ,22 November 1995 (USA),8.3
307,G,1h 32min,Comedy; ,2 November 2001 (USA),8.0
308,R,1h 42min,Comedy; ,19 January 2001 (USA),8.3
309,G,1h 43min,Comedy; ,18 June 2010 (USA),8.3
310,R,1h 52min,Comedy; ,13 July 2012 (India),8.5
311,R,1h 57min,Comedy; ,6 March 1998 (USA),8.1
312,R,1h 40min,Comedy; ,5 June 2009 (USA),7.7
313,R,2h 2min,Comedy; Romance; ,8 February 2002 (USA),8.3
314,R,1h 39min,Comedy; ,28 March 2014 (USA),8.1
315,R,2h 2min,Comedy; Romance; ,25 December 2012 (USA),7.7
316,G,1h 51min,Comedy; ,29 June 2007 (USA),8.0
317,PG-13,1h 56min,Comedy; Romance; ,12 February 1999 (USA),8.6
318,PG,1h 30min,Comedy; ,18 May 2001 (USA),7.8
319,PG,1h 35min,Comedy; ,19 June 2015 (USA),8.1
320,R,2h 9min,Comedy; ,13 February 2015 (USA),7.7
321,PG,1h 41min,Comedy; Romance; ,12 February 1993 (USA),8.0
322,R,1h 59min,Comedy; ,14 November 2014 (USA),7.7
323,R,1h 46min,Comedy; ,29 June 2012 (USA),6.9
324,PG-13,2h 10min,Comedy; ,3 November 2017 (USA),7.9
325,PG,1h 42min,Comedy; ,27 November 2013 (USA),7.4
326,PG-13,1h 57min,Comedy; ,17 July 2015 (USA),7.3
327,PG-13,2h 16min,Comedy; ,5 May 2017 (USA),7.6
328,R,1h 47min,Comedy; ,28 August 1998 (UK),8.2
329,R,1h 57min,Comedy; ,16 April 2010 (USA),7.6
330,G,1h 32min,Comedy; ,24 November 1999 (USA),7.9
331,R,1h 53min,Comedy; ,17 August 2007 (USA),7.6
332,R,1h 28min,Comedy; ,2 October 2009 (USA),7.6
333,PG-13,1h 38min,Comedy; ,2 July 1997 (USA),7.3
334,R,1h 49min,Comedy; ,16 March 2012 (USA),7.2
335,R,1h 39min,Comedy; ,24 September 2004 (USA),7.9
336,PG,1h 35min,Comedy; ,9 July 2010 (USA),7.6
337,PG,1h 31min,Comedy; ,6 December 1979 (India),8.2
338,R,2h 41min,Comedy; ,26 July 2019 (USA),7.7
339,PG-13,2h 8min,Comedy; ,25 December 2016 (USA),8.0
340,PG-13,1h 36min,Comedy; ,25 December 2007 (USA),7.4
341,R,1h 41min,Comedy; ,14 April 2000 (USA),7.6
342,PG,1h 48min,Comedy; ,22 November 1989 (USA),7.8
343,PG-13,1h 35min,Comedy; Romance; ,7 August 2009 (USA),7.7
344,PG-13,1h 58min,Comedy; Romance; ,29 July 2011 (USA),7.4
345,R,1h 59min,Comedy; ,18 May 2018 (USA),7.7
346,R,1h 42min,Comedy; ,26 May 2011 (USA),6.4
347,R,2h 1min,Comedy; ,20 April 2007 (USA),7.8
348,PG,1h 43min,Comedy; ,16 November 1990 (USA),7.6
